Dạng cổ (Philiphê Bỉnh),Dạng hiện đại,Loại biến âm,Nhận xét
chăy,cháy,áy → ăy,"đời thương chăy, nhà mình chăy thức ngủ liền là dấu chăy nhà, khi chăy nhà, nắng chăy nhà"
chăy,chậy,ậy → ăy,"đã chăy sang đấy, đã chăy qua, chăy cả ngày cả đêm, chăy đi bán rao"
dăy,dẫy,ấy/ẫy → ăy,đi một dăy thước thợ
đầy,đầy / đày,ay/ay → ây/ầy,"đã đầy thằng Bonaparte, bất điệu đi đầy"
đấy,đấy,không đổi (tiểu từ),bán hàng đấy
gẫy,gãy,ãy → ẫy,non chẳng uốn già bẻ gẫy cành
hăy,hay,ay → ăy,đoạn sẽ hăy
hăy,hãy,ãy → ăy,"hăy còn, hăy xin"
lăy,lấy,ấy → ăy,"vào mà lăy cụ, kéo đến lăy cụ, cũng lăy bà mụ chinh, khi đã lăy rồi"
măy,may,ay → ăy,"mua vải gai măy áo giúp lễ, mẹ tôi măy cho tôi"
măy,mày,ay → ăy,thuở xưa măy đã ngác đầu lên
năy,này,ay → ăy,"đời năy đã mạt thế, thầy dầy phạt con năy, dòng năy thì giữ blọn, sách năy là sách sổ sang"
nhăy,nhảy,ảy → ăy,nhăy vọt lên
ngăy,ngày,ay → ăy,"ngăy kiêng, có ngăy lên có ngăy xuống, ngăy gió ngăy chạp ngăy chết, sang ngăy mai, ngăy lễ sinh nhật, giữa ngăy lễ người"
quăy,quay,ay → ăy,tầy áo quăy công
răy,rảy,ảy → ăy,"răy hăy còn giữ, tựăy cho đến răy, còn giữ đến răy, băy nhiêu ngăy răy, còn giữ đến răy"
răy,rẫy,ẫy → ăy,mà răy nước phép
tăy,tay,ay → ăy,"một bề bên tăy hữu, cãi tăy đòi vuối ông ấy, nơì tăy cụ Rodrigo, lấy ngón tăy"
